,Unnamed: 0,disney plus_flatrate,adult,original_language,amazon prime video_flatrate,genre_ids,google play movies_rent,original_title,netflix_flatrate,kr_theater_note,release_date,popularity,id,overview,vote_average,wavve_buy,google play movies_buy,title,wavve_flatrate,poster_path,wavve_rent,kr_digital_date,netflix standard with ads_flatrate,tving_flatrate,backdrop_path,watcha_flatrate,softcore,video,kr_digital_note,kr_theater_date,vote_count,apple tv_flatrate,filmbox+_flatrate,crunchyroll_flatrate,sun nxt_flatrate,mubi_flatrate,movieme_rent,global_theater_date,global_digital_date
3619,3619,0.0,False,en,0.0,99|10749|53,0.0,Skywalkers: A Love Story,1.0,Netflix,2024-07-19,0.3583,1214488,세계에서 가장 높은 초고층 건물을 불법적으로 등반하는 두 남녀. 맨몸으로 정상까지 올라 아찔한 고공 곡예를 선보이는데. 이 무모한 도전을 통해 이들은 둘의 사랑과 신뢰의 한계를 시험해 본다.,7.193,0.0,0.0,스카이워커스: 사랑 이야기,0.0,/kFYo1muhc3qlWXkpZg3X0oLbVsE.jpg,0.0,2024-07-19,1.0,0.0,/3CwKraydx0pon9wRrysJXmDMVJT.jpg,0.0,False,False,Netflix,2024-07-19,75,0,0,0,0,0,0,2024-07-12,2024-07-18
3620,3620,0.0,False,en,0.0,27|878,0.0,Monsternado,0.0,,2023-11-14,0.5005,1052158,선사 시대 괴물들로 가득한 토네이도가 버뮤다 삼각지대에서 형성되어 육지로 향하고 있다. 이제 도시는 이 치명적인 생명체로부터 살아남기 위해 싸워야 한다.,5.7,0.0,0.0,몬스터네이도,0.0,/txA4srjcxa4HiWEaMyrNtWHbR5a.jpg,0.0,,0.0,0.0,/vLvKc1x7bDXV5N7RnGCnZRBng3q.jpg,0.0,False,False,,,67,0,0,0,0,0,0,,2023-11-14
3621,3621,0.0,False,es,0.0,18|53,0.0,Que nadie duerma,0.0,,2023-11-17,0.3057,828936,,5.95,0.0,0.0,Que nadie duerma,0.0,/lIPC1FM9KBX8vXRG40iSJoKsZsv.jpg,0.0,,0.0,0.0,/cBueKI86rE4f0ommhkVo4snHUxp.jpg,0.0,False,False,,,60,0,0,0,0,0,0,2023-11-17,2024-02-01
3622,3622,0.0,False,fr,0.0,18,0.0,Juliette au printemps,0.0,,2024-06-12,0.4077,1000965,,6.733,0.0,0.0,Juliette au printemps,0.0,/wwlSAHN15QD6ffSXwV1ZSntN96N.jpg,0.0,,0.0,0.0,/j67SEUoasA5eyZO8Gzn9JeZuV3M.jpg,0.0,False,False,,,58,0,0,0,0,0,0,2024-06-12,
3623,3623,0.0,False,es,0.0,18|10402,0.0,Segundo premio,0.0,,2024-05-24,0.512,977548,,5.761,0.0,0.0,Segundo premio,0.0,/e2eQxBsDxoqpaYUy5yZosvrBuVz.jpg,0.0,,0.0,0.0,/gnfj8rc8TDszQKrTfz5rFbOYaPw.jpg,0.0,False,False,,,67,0,0,0,0,0,0,2024-05-24,
3624,3624,0.0,False,fr,0.0,18|10749,0.0,"Sarah Bernhardt, La Divine",0.0,,2024-12-18,0.4261,1228322,,6.0,0.0,0.0,"Sarah Bernhardt, La Divine",0.0,/pC6muFFqI58gsImo3Rhd8HkkPAI.jpg,0.0,,0.0,0.0,/pxa1j4CXGgJ0nVf3KxKefdh7fpp.jpg,0.0,False,False,,,64,0,0,0,0,0,0,2024-12-18,2025-06-24
3625,3625,0.0,False,de,0.0,35,0.0,Die Geschichte der Menschheit - leicht gekürzt,0.0,,2022-06-16,0.4983,915646,,5.075,0.0,0.0,Die Geschichte der Menschheit - leicht gekürzt,0.0,/l6VGhaR0KkysQqk1QUTB6r6M78R.jpg,0.0,,0.0,0.0,/nXAX76qmDwMPa5Gsxubb3NI2ANx.jpg,0.0,False,False,,,60,0,0,0,0,0,0,2022-06-16,2023-04-14
3626,3626,0.0,False,en,0.0,99,0.0,White Hot: The Rise & Fall of Abercrombie & Fitch,1.0,,2022-04-19,0.416,953371,"쿨한 애들은 하나같이 입었던 애버크롬비 & 피치. 이 브랜드가 90년대 후반과 2000년대 초반에 대중문화를 지배했던 시절, 그리고 배타적 이미지로 인기를 누린 과정을 다룬 다큐멘터리.",5.684,0.0,0.0,"화이트 핫: 애버크롬비 & 피치, 그 흥망의 기록",0.0,/zbA8GgIBRsVoAO1uEvS6k2rqVAV.jpg,0.0,,1.0,0.0,/10r0a9tfKBnegvgVfbYBsJnfkNa.jpg,0.0,False,False,,,95,0,0,0,0,0,0,,2022-04-19
3627,3627,0.0,False,es,0.0,35|18,0.0,A Todas Partes,1.0,,2023-02-14,0.3067,1078862,"안 보고 산 지 15년이 된 남매. 어릴 적 꿈을 함께 이루기로 하면서 멀어진 관계를 회복한다. 그 시절 그 꿈이란 바로, 오토바이를 타고 멕시코를 여행하는 것.",6.7,0.0,0.0,올 더 플레이스,0.0,/gBiZdPAWLSPLE4sX6BzWMzaJylP.jpg,0.0,,1.0,0.0,/5yQoSQi2ktX2Myjl3vLAvJzOKYy.jpg,0.0,False,False,,,56,0,0,0,0,0,0,,2023-02-14
3628,3628,0.0,False,it,0.0,35,0.0,50 km all'ora,0.0,,2024-01-04,1.3329,1096804,,6.7,0.0,0.0,50 km all'ora,0.0,/y8tbZ6MP4kAyGFkgFxjwcj8VHHI.jpg,0.0,,0.0,0.0,/hzT6KTqnWBoN4fGXBh7ExRZqJXD.jpg,0.0,False,False,,,117,0,0,0,0,0,0,2024-01-04,2025-11-12
3629,3629,0.0,False,fr,0.0,35|18,0.0,Hawaii,0.0,,2023-05-10,0.3535,892505,,5.455,0.0,0.0,Hawaii,0.0,/mvfyVL0SNSfMtfl56vuGGgTAzFJ.jpg,0.0,,0.0,0.0,/eYsz9iLzhh3QzQlQ767NF6pf2Ad.jpg,0.0,False,False,,,66,0,0,0,0,0,0,2023-05-10,
3630,3630,0.0,False,fr,0.0,35,0.0,Les Cadeaux,0.0,,2024-12-25,0.3107,1193120,,4.702,0.0,0.0,Les Cadeaux,0.0,/pH1W1nWwrgDBHuxxquiCwbj3a9q.jpg,0.0,,0.0,0.0,/2UU3LaevLx93IZwGgUeVEHVHfBQ.jpg,0.0,False,False,,,52,0,0,0,0,0,0,2024-12-25,2025-12-07
3631,3631,0.0,False,fr,0.0,18,1.0,Àma Gloria,0.0,,2024-01-03,0.3771,803688,여섯 살 클레오는 사랑하는 유모 글로리아의 고향에서 특별한 여름 방학을 보내기로 한다. 모든 게 낯선 그곳에서 글로리아가 전부였던 클레오의 세계에도 새로운 파도가 친다.,6.683,1.0,1.0,클레오의 세계,0.0,/vsiFLDbyCul25Bfb4EfHqQjU9IW.jpg,1.0,,0.0,0.0,/e7okvDnIRTBrytHmpX7Zk7sUUnJ.jpg,0.0,False,False,,2024-01-03,52,0,0,0,0,0,0,2023-08-30,2024-07-22
3632,3632,0.0,False,it,0.0,18,0.0,Cento domeniche,0.0,,2023-11-23,0.4668,1013221,,6.735,0.0,0.0,Cento domeniche,0.0,/yVYTR3TA8c3eoHPAg2lwt3UBWmK.jpg,0.0,,0.0,0.0,/aWLkVSdeTpO3OXkP1qNCnqaV51L.jpg,0.0,False,False,,,179,0,0,0,0,0,0,2023-11-23,
3633,3633,0.0,False,fr,0.0,18,0.0,Vivants,0.0,,2024-02-14,0.4666,1083412,,5.62,0.0,0.0,Vivants,0.0,/yuAfn2ZxfXP9GHpdFqvziWVYWXA.jpg,0.0,,0.0,0.0,/frKiawSOkx1M2tyOWxGzEikPVw4.jpg,0.0,False,False,,,71,0,0,0,0,0,0,2024-02-14,
3634,3634,0.0,False,fr,0.0,35,0.0,La Très Très Grande Classe,0.0,,2022-08-10,0.3882,846969,,5.0,0.0,0.0,La Très Très Grande Classe,0.0,/fWkVki2dyjBZruFXdovtvOvCLEk.jpg,0.0,,0.0,0.0,/12IkkCfrFr6vA2oygQFE0YYiqvw.jpg,0.0,False,False,,,60,0,0,0,0,0,0,2022-08-10,2022-12-10
